timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text,hasVideo
2026-07-23T10:36:20.000+08:00,5424,2,3,2,yes,"liability nuclear; japan participation; fears lenders; american soil; 40bn","https://x.com/FT/status/2080119796876579038","FT Exclusive: Japan’s participation in a $40bn nuclear power project in the US has hit a roadblock over fears that its lenders might have to assume liability for any nuclear accident on American soil.  https:// ft.trib.al/TeBPsIW","FT Exclusive: Japan’s participation in a $40bn nuclear power project in the US has hit a roadblock over fears that its lenders might have to assume liability for any nuclear accident on American soil.  https:// ft.trib.al/TeBPsIW",no
2026-07-23T09:35:03.000+08:00,16881,28,10,3,yes,"sought riyadh; trump nuclear; dollar partnership; long multibillion; foundation decades","https://x.com/FT/status/2080104373217104140","The deal long sought by Riyadh would ‘lay the legal foundation for a decades-long, multibillion-dollar partnership’ and help to fulfil Donald Trump’s ‘nuclear renaissance’ for America.  https:// ft.trib.al/l7ul3iU","The deal long sought by Riyadh would ‘lay the legal foundation for a decades-long, multibillion-dollar partnership’ and help to fulfil Donald Trump’s ‘nuclear renaissance’ for America.  https:// ft.trib.al/l7ul3iU",no
2026-07-23T08:41:29.000+08:00,23369,70,24,11,yes,"morning asia; google burning; ai infrastructure; decades ago","https://x.com/FT/status/2080090890236842356","Good morning, Asia. While you were sleeping, one of our most-read stories was about Google burning through cash for the first time since going public decades ago as it raised its spending forecast for AI infrastructure.  https:// ft.trib.al/aew0dAG","Good morning, Asia. While you were sleeping, one of our most-read stories was about Google burning through cash for the first time since going public decades ago as it raised its spending forecast for AI infrastructure.  https:// ft.trib.al/aew0dAG",no
2026-07-23T08:23:27.000+08:00,19985,6,2,1,no,"wikramanayake ceo; macquarie names; names banking; banking head","https://x.com/FT/status/2080086352926843252","Macquarie names banking head to succeed Wikramanayake as CEO","Macquarie names banking head to succeed Wikramanayake as CEO",no
2026-07-23T08:21:18.000+08:00,21230,45,18,6,no,"chinese ai; losing chinese; losing; stars https","https://x.com/FT/status/2080085812985688337","Why the US is losing Chinese AI stars  https:// ft.trib.al/8rnTF5x  | opinion","Why the US is losing Chinese AI stars  https:// ft.trib.al/8rnTF5x  | opinion",no
2026-07-23T07:07:11.000+08:00,23647,34,16,7,no,"long china; china defy; history logic; logic imbalances; defy history","https://x.com/FT/status/2080067161477771625","How long can China defy history and logic with its imbalances?","How long can China defy history and logic with its imbalances?",no
2026-07-23T06:50:07.000+08:00,30844,71,21,9,yes,"arm; jesse livermore; legend life; trader history; ended tragedy; turned speculation","https://x.com/FT/status/2080062867043139637","Jesse Livermore turned speculation into legend. But his life ended in tragedy.  Listen to the FT's Robin Wigglesworth and Robert Armstrong dissect the extraordinary life of the greatest day trader in history.  https:// ft.trib.al/2bnysyX","Jesse Livermore turned speculation into legend. But his life ended in tragedy.  Listen to the FT's Robin Wigglesworth and Robert Armstrong dissect the extraordinary life of the greatest day trader in history.  https:// ft.trib.al/2bnysyX",no
2026-07-23T06:30:59.000+08:00,19543,11,14,6,no,"arm; openai hacking; ai arms; incident exposes; mounting risks","https://x.com/FT/status/2080058051172712596","OpenAI hacking incident exposes mounting risks in AI arms race","OpenAI hacking incident exposes mounting risks in AI arms race",no
2026-07-23T06:15:17.000+08:00,24850,32,12,6,no,"taiwan drone; drone ambitions; manufacturing strengths; play tech; xcerqnd opinion","https://x.com/FT/status/2080054098892615736","Taiwan’s drone ambitions play to its tech manufacturing strengths  https:// ft.trib.al/XceRqnD  | opinion","Taiwan’s drone ambitions play to its tech manufacturing strengths  https:// ft.trib.al/XceRqnD  | opinion",no
2026-07-23T06:15:08.000+08:00,19532,26,8,4,yes,"risks offshoring; warned firms; future proof; financial reporting","https://x.com/FT/status/2080054060305039653","The Financial Reporting Council warned firms to 'future-proof' against the risks of offshoring, adding that it would monitor the largest firms for the next year.  https:// ft.trib.al/XDktPJX","The Financial Reporting Council warned firms to 'future-proof' against the risks of offshoring, adding that it would monitor the largest firms for the next year.  https:// ft.trib.al/XDktPJX",no
